likes,created_at,status,text,display_text,urls,retweets,bookmarks,quotes,reply_to,replies,lang,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id_str,sensitive,views,conversation_id,entities,author,media,id,quoted,retweeted,retweeted_tweet,card
13347,Wed Dec 18 09:17:34 +0000 2024,active,Ever seen a bigger piece of pork? https://t.co/ZesFCNSNKp,Ever seen a bigger piece of pork?,[],1457,330,186,,2754,en,,,,False,820177,1869311029131596262,"{'hashtags': [], 'media': [{'display_url': 'pic.x.com/ZesFCNSNKp', 'expanded_url': 'https://x.com/elonmusk/status/1869311029131596262/photo/1', 'id_str': '1869311025532825600', 'indices': [34, 57], 'media_key': '3_1869311025532825600', 'media_url_https': 'https://pbs.twimg.com/media/GfEgeUOa8AArOzF.jpg', 'type': 'photo', 'url': 'https://t.co/ZesFCNSNKp', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 407, 'y': 994, 'h': 86, 'w': 86}, {'x': 279, 'y': 635, 'h': 127, 'w': 127}]}, 'medium': {'faces': [{'x': 285, 'y': 697, 'h': 60, 'w': 60}, {'x': 195, 'y': 445, 'h': 89, 'w': 89}]}, 'small': {'faces': [{'x': 161, 'y': 394, 'h': 34, 'w': 34}, {'x': 110, 'y': 252, 'h': 50, 'w': 50}]}, 'orig': {'faces': [{'x': 407, 'y': 994, 'h': 86, 'w': 86}, {'x': 279, 'y': 635, 'h': 127, 'w': 127}]}}, 'sizes': {'large': {'h': 1712, 'w': 1118, 'resize': 'fit'}, 'medium': {'h': 1200, 'w': 784, 'resize': 'fit'}, 'small': {'h': 680, 'w': 444, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1712, 'width': 1118, 'focus_rects': [{'x': 0, 'y': 0, 'w': 1118, 'h': 626}, {'x': 0, 'y': 0, 'w': 1118, 'h': 1118}, {'x': 0, 'y': 0, 'w': 1118, 'h': 1275}, {'x': 0, 'y': 0, 'w': 856, 'h': 1712}, {'x': 0, 'y': 0, 'w': 1118, 'h': 1712}]}, 'allow_download_status': {'allow_download': True}, 'media_results': {'result': {'media_key': '3_1869311025532825600'}}}], 'symbols': [], 'urls': [], 'user_mentions': []}","{'rest_id': '44196397', 'name': 'Elon Musk', 'screen_name': 'elonmusk', 'image': 'https://pbs.twimg.com/profile_images/1858316737780781056/kPL61o0F_normal.jpg', 'blue_verified': True, 'sub_count': 207688220}",,1869311029131596262,,,,
6973,Wed Dec 18 09:15:16 +0000 2024,active,This bill should not pass,This bill should not pass,[],1117,107,54,,944,en,,,,,835391,1869310453253546066,"{'hashtags': [], 'symbols': [], 'urls': [], 'user_mentions': []}","{'rest_id': '44196397', 'name': 'Elon Musk', 'screen_name': 'elonmusk', 'image': 'https://pbs.twimg.com/profile_images/1858316737780781056/kPL61o0F_normal.jpg', 'blue_verified': True, 'sub_count': 207684624}",,1869310453253546066,"{'tweet_id': '1869233015303573625', 'bookmarks': 282, 'created_at': 'Wed Dec 18 04:07:34 +0000 2024', 'favorites': 27173, 'text': 'Currently reading the 1,547-page bill to fund the government through mid-March. Expecting every U.S. Congressman &amp; Senator to do the same.', 'lang': 'en', 'views': '1394845', 'quotes': 292, 'replies': 2525, 'retweets': 3965, 'conversation_id': '1869233015303573625', 'author': {'rest_id': '1227799690579718144', 'name': 'Vivek Ramaswamy', 'screen_name': 'VivekGRamaswamy', 'avatar': 'https://pbs.twimg.com/profile_images/1848818505556094977/bfQ4OO7F_normal.jpg', 'blue_verified': True}, 'media': []}",,,
0,Wed Dec 18 09:02:27 +0000 2024,active,"RT @jasonfried: Big week. @elonmusk goes 2 for 2 for us.

1. Found myself in the middle of a wildfire. Bad situation. Putting out spot fire…","RT @jasonfried: Big week. @elonmusk goes 2 for 2 for us.

1. Found myself in the middle of a wildfire. Bad situation. Putting out spot fire…",[],294,0,0,,0,en,,,,,6,1869307226550395040,"{'user_mentions': [{'id_str': '14372143', 'name': 'Jason Fried', 'screen_name': 'jasonfried', 'indices': [3, 14]}, {'id_str': '44196397', 'name': 'Elon Musk', 'screen_name': 'elonmusk', 'indices': [26, 35]}], 'urls': [], 'hashtags': [], 'symbols': []}","{'rest_id': '44196397', 'name': 'Elon Musk', 'screen_name': 'elonmusk', 'image': 'https://pbs.twimg.com/profile_images/1858316737780781056/kPL61o0F_normal.jpg', 'blue_verified': True, 'sub_count': 207688220}",,1869307226550395040,,{'id': '1869135897603793302'},"{'tweet_id': '1869135897603793302', 'bookmarks': 235, 'created_at': 'Tue Dec 17 21:41:39 +0000 2024', 'favorites': 3231, 'text': ""Big week. @elonmusk goes 2 for 2 for us.\n\n1. Found myself in the middle of a wildfire. Bad situation. Putting out spot fires the next day, loads of smoke. Had N95, but wasn't doing the job. Wasn't feeling great, breathing labored, starting to get light headed. Neighbors who were"", 'lang': 'en', 'views': '374159', 'quotes': 23, 'replies': 199, 'retweets': 294, 'conversation_id': '1869135897603793302', 'author': {'rest_id': '14372143', 'name': 'Jason Fried', 'screen_name': 'jasonfried', 'avatar': 'https://pbs.twimg.com/profile_images/3413742921/0e9ef95e76c4a965b9b177fa2267d6c1_normal.png', 'blue_verified': True, 'sub_count': 306980}, 'media': []}",
21017,Wed Dec 18 07:06:58 +0000 2024,active,Congrats @SpaceX Falcon team!,Congrats @SpaceX Falcon team!,[],2523,241,117,,2205,en,,,,,2923585,1869278165639811343,"{'hashtags': [], 'symbols': [], 'urls': [], 'user_mentions': [{'id_str': '34743251', 'name': 'SpaceX', 'screen_name': 'SpaceX', 'indices': [9, 16]}]}","{'rest_id': '44196397', 'name': 'Elon Musk', 'screen_name': 'elonmusk', 'image': 'https://pbs.twimg.com/profile_images/1858316737780781056/kPL61o0F_normal.jpg', 'blue_verified': True, 'sub_count': 207688254}",,1869278165639811343,"{'tweet_id': '1869221857930703078', 'bookmarks': 145, 'created_at': 'Wed Dec 18 03:23:14 +0000 2024', 'favorites': 7327, 'text': 'Teams complete three successful Falcon 9 missions in under 24 hours https://t.co/us2i2AotB1', 'lang': 'en', 'views': '3263952', 'quotes': 140, 'replies': 496, 'retweets': 965, 'conversation_id': '1869221857930703078', 'author': {'rest_id': '34743251', 'name': 'SpaceX', 'screen_name': 'SpaceX', 'avatar': 'https://pbs.twimg.com/profile_images/1697749409851985920/HbrI04tM_normal.jpg', 'blue_verified': True}, 'media': {'photo': [{'media_url_https': 'https://pbs.twimg.com/media/GfDPO-NW0AAo6Px.jpg', 'id': '1869221701482893312'}, {'media_url_https': 'https://pbs.twimg.com/media/GfDPQ1FXUAAQc6g.jpg', 'id': '1869221733393190912'}, {'media_url_https': 'https://pbs.twimg.com/media/GfDPVt8XIAA8nGP.jpg', 'id': '1869221817375727616'}]}}",,,
98998,Tue Dec 17 21:31:57 +0000 2024,active,Guess who this is? 🤣🤣 https://t.co/XHWcgIa04W,Guess who this is? 🤣🤣,[],10694,1938,1655,,19025,en,,,,False,16224907,1869133454950228312,"{'hashtags': [], 'media': [{'display_url': 'pic.x.com/XHWcgIa04W', 'expanded_url': 'https://x.com/elonmusk/status/1869133454950228312/photo/1', 'id_str': '1869133438202290176', 'indices': [22, 45], 'media_key': '3_1869133438202290176', 'media_url_https': 'https://pbs.twimg.com/media/GfB-9X3aIAApDN9.jpg', 'type': 'photo', 'url': 'https://t.co/XHWcgIa04W', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 409, 'y': 84, 'h': 230, 'w': 230}]}, 'medium': {'faces': [{'x': 409, 'y': 84, 'h': 230, 'w': 230}]}, 'small': {'faces': [{'x': 271, 'y': 55, 'h': 152, 'w': 152}]}, 'orig': {'faces': [{'x': 409, 'y': 84, 'h': 230, 'w': 230}]}}, 'sizes': {'large': {'h': 768, 'w': 1024, 'resize': 'fit'}, 'medium': {'h': 768, 'w': 1024, 'resize': 'fit'}, 'small': {'h': 510, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 768, 'width': 1024, 'focus_rects': [{'x': 0, 'y': 0, 'w': 1024, 'h': 573}, {'x': 153, 'y': 0, 'w': 768, 'h': 768}, {'x': 200, 'y': 0, 'w': 674, 'h': 768}, {'x': 345, 'y': 0, 'w': 384, 'h': 768}, {'x': 0, 'y': 0, 'w': 1024, 'h': 768}]}, 'allow_download_status': {'allow_download': True}, 'media_results': {'result': {'media_key': '3_1869133438202290176'}}}], 'symbols': [], 'urls': [], 'user_mentions': []}","{'rest_id': '44196397', 'name': 'Elon Musk', 'screen_name': 'elonmusk', 'image': 'https://pbs.twimg.com/profile_images/1858316737780781056/kPL61o0F_normal.jpg', 'blue_verified': True, 'sub_count': 207684657}",,1869133454950228312,,,,
10753,Tue Dec 17 21:32:36 +0000 2024,active,"Made with @Grok
https://t.co/1cfbK7etiN","Made with @Grok
x.com/i/grok/share/W…","[{'display_url': 'x.com/i/grok/share/W…', 'expanded_url': 'https://x.com/i/grok/share/W7gwlp1vnqIgeghCDP3nNszym', 'url': 'https://t.co/1cfbK7etiN'}]",1144,190,53,1869133454950228312,1217,en,elonmusk,1869133454950228312,44196397,False,1838556,1869133454950228312,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'x.com/i/grok/share/W…', 'expanded_url': 'https://x.com/i/grok/share/W7gwlp1vnqIgeghCDP3nNszym', 'url': 'https://t.co/1cfbK7etiN', 'indices': [16, 39]}], 'user_mentions': [{'id_str': '1720665183188922368', 'name': 'Grok', 'screen_name': 'grok', 'indices': [10, 15]}]}","{'rest_id': '44196397', 'name': 'Elon Musk', 'screen_name': 'elonmusk', 'image': 'https://pbs.twimg.com/profile_images/1858316737780781056/kPL61o0F_normal.jpg', 'blue_verified': True, 'sub_count': 207684623}",,1869133622055407879,,,,"{'type': None, 'url': None, 'media': {'id': None, 'image_url': None, 'video_duration': None, 'video_variants': None}}"
3507,Wed Dec 18 07:01:52 +0000 2024,active,"@grok Cake 
https://t.co/iKf47HuI8W","Cake 
x.com/i/grok/share/J…","[{'display_url': 'x.com/i/grok/share/J…', 'expanded_url': 'https://x.com/i/grok/share/JGt9JWKr9DSx8nmYpHdnDoyDg', 'url': 'https://t.co/iKf47HuI8W'}]",299,49,26,1869133622055407879,773,en,elonmusk,1869133622055407879,44196397,False,568740,1869133454950228312,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'x.com/i/grok/share/J…', 'expanded_url': 'https://x.com/i/grok/share/JGt9JWKr9DSx8nmYpHdnDoyDg', 'url': 'https://t.co/iKf47HuI8W', 'indices': [12, 35]}], 'user_mentions': [{'id_str': '1720665183188922368', 'name': 'Grok', 'screen_name': 'grok', 'indices': [0, 5]}]}","{'rest_id': '44196397', 'name': 'Elon Musk', 'screen_name': 'elonmusk', 'image': 'https://pbs.twimg.com/profile_images/1858316737780781056/kPL61o0F_normal.jpg', 'blue_verified': True, 'sub_count': 207688225}",,1869276881180406257,,,,"{'type': None, 'url': None, 'media': {'id': None, 'image_url': None, 'video_duration': None, 'video_variants': None}}"
84645,Tue Dec 17 21:50:55 +0000 2024,active,"Yeah, this explains a lot. 

Shame on @Reuters. 

Paid propaganda!","Yeah, this explains a lot. 

Shame on @Reuters. 

Paid propaganda!",[],17344,1737,426,,4626,en,,,,,15360761,1869138229511033338,"{'hashtags': [], 'symbols': [], 'urls': [], 'user_mentions': [{'id_str': '1652541', 'name': 'Reuters', 'screen_name': 'Reuters', 'indices': [38, 46]}]}","{'rest_id': '44196397', 'name': 'Elon Musk', 'screen_name': 'elonmusk', 'image': 'https://pbs.twimg.com/profile_images/1858316737780781056/kPL61o0F_normal.jpg', 'blue_verified': True, 'sub_count': 207684732}",,1869138229511033338,"{'tweet_id': '1869089408210932051', 'bookmarks': 890, 'created_at': 'Tue Dec 17 18:36:55 +0000 2024', 'favorites': 11755, 'text': 'Wow. Turns out all those Reuters hit pieces were funded by the Biden administration. \n\nI remember thinking this is so weird, why is Reuters suddenly so anti-Tesla. They wanted to look cool for Biden.', 'lang': 'en', 'views': '15693037', 'quotes': 183, 'replies': 547, 'retweets': 2742, 'conversation_id': '1869089408210932051', 'author': {'rest_id': '1263491240336769026', 'name': 'Whole Mars Catalog', 'screen_name': 'WholeMarsBlog', 'avatar': 'https://pbs.twimg.com/profile_images/1593688242771017728/1Ocz0cvu_normal.jpg', 'blue_verified': True}, 'media': []}",,,
132272,Tue Dec 17 21:46:52 +0000 2024,active,Free your friends from the sadness generating propaganda machine that is legacy media and get them on 𝕏 so they know what’s really happening!,Free your friends from the sadness generating propaganda machine that is legacy media and get them on 𝕏 so they know what’s really happening!,[],16375,2077,1120,,8607,en,,,,,25336256,1869137211800862900,"{'hashtags': [], 'symbols': [], 'urls': [], 'user_mentions': []}","{'rest_id': '44196397', 'name': 'Elon Musk', 'screen_name': 'elonmusk', 'image': 'https://pbs.twimg.com/profile_images/1858316737780781056/kPL61o0F_normal.jpg', 'blue_verified': True, 'sub_count': 207688218}",,1869137211800862900,,,,
51045,Tue Dec 17 21:29:43 +0000 2024,active,True,True,[],9810,567,142,,1678,en,,,,,5956101,1869132892540121453,"{'user_mentions': [], 'urls': [], 'hashtags': [], 'symbols': []}","{'rest_id': '44196397', 'name': 'Elon Musk', 'screen_name': 'elonmusk', 'image': 'https://pbs.twimg.com/profile_images/1858316737780781056/kPL61o0F_normal.jpg', 'blue_verified': True, 'sub_count': 207688339}",,1869132892540121453,"{'tweet_id': '1869095749268754680', 'bookmarks': 140, 'created_at': 'Tue Dec 17 19:02:07 +0000 2024', 'favorites': 5891, 'text': 'The Washington Post is more offended that Trump hilariously calls Elizabeth Warren “Pocahontas” than they are that she used her fake heritage to get ahead in life.\n\nYou don’t hate legacy media enough. https://t.co/no0rzuFwnk', 'lang': 'en', 'views': '6066282', 'quotes': 75, 'replies': 271, 'retweets': 1234, 'conversation_id': '1869095749268754680', 'author': {'rest_id': '534023', 'name': 'ALX 🇺🇸', 'screen_name': 'alx', 'avatar': 'https://pbs.twimg.com/profile_images/1820708761406775296/J12pbn0e_normal.jpg', 'blue_verified': True}, 'media': {'photo': [{'media_url_https': 'https://pbs.twimg.com/media/GfBcrOpWYAAYRfk.jpg', 'id': '1869095743094415360'}]}}",,,
